dim_1,dim_2,gene,0,1
129.0,845.0,CD14,128.53169469598964,858.764553686934
129.0,1135.0,CD14,136.20634920634922,1135.3101343101343
129.0,1609.0,CD14,119.3118556701031,1618.1829896907216
130.0,553.0,CD14,126.87873754152824,537.7990033222592
130.0,1128.0,CD14,136.20634920634922,1135.3101343101343
130.0,1130.0,CD14,136.20634920634922,1135.3101343101343
130.0,1878.0,CD11c,134.8148148148148,1887.5296296296297
132.0,1128.0,CD14,136.20634920634922,1135.3101343101343
132.0,1130.0,CD14,136.20634920634922,1135.3101343101343
132.0,1135.0,CD14,136.20634920634922,1135.3101343101343
133.0,1598.0,CD14,111.79569892473118,1584.731182795699
135.0,54.0,CD11c,105.61361014994233,76.18223760092272
136.0,14.0,CD14,106.15297450424929,37.97450424929178
136.0,1169.0,CD11c,140.45030674846626,1173.1472392638036
137.0,23.0,CD14,106.15297450424929,37.97450424929178
137.0,1181.0,CD11c,140.45030674846626,1173.1472392638036
138.0,403.0,CD11c,100.2286995515695,401.26008968609864
138.0,763.0,CD14,149.56123822341857,761.7362045760431
138.0,1167.0,CD11c,140.45030674846626,1173.1472392638036
138.0,1183.0,CD11c,140.45030674846626,1173.1472392638036
140.0,1147.0,CD14,136.20634920634922,1135.3101343101343
141.0,1141.0,CD14,136.20634920634922,1135.3101343101343
142.0,1025.0,CD14,133.91547749725575,1029.4281009879253
142.0,1172.0,CD11c,140.45030674846626,1173.1472392638036
143.0,11.0,CD14,106.15297450424929,37.97450424929178
143.0,525.0,CD14,126.87873754152824,537.7990033222592
143.0,1262.0,CD11c,144.248322147651,1274.4541387024608
143.0,1884.0,CD11c,134.8148148148148,1887.5296296296297
144.0,579.0,CD11c,126.87873754152824,537.7990033222592
145.0,408.0,CD11c,189.60309278350516,426.8917525773196
145.0,1151.0,CD14,136.20634920634922,1135.3101343101343
145.0,1468.0,CD14,132.03030303030303,1472.3761140819965
146.0,122.0,CD14,145.7101669195751,121.49468892261001
146.0,1265.0,CD14,144.248322147651,1274.4541387024608
147.0,1926.0,CD14,146.14890282131663,1932.8636363636363
148.0,856.0,CD14,162.5542372881356,857.6779661016949
148.0,1170.0,CD11c,140.45030674846626,1173.1472392638036
148.0,1269.0,CD14,144.248322147651,1274.4541387024608
148.0,1466.0,CD14,132.03030303030303,1472.3761140819965
149.0,848.0,CD14,162.5542372881356,857.6779661016949
149.0,1188.0,CD11c,140.45030674846626,1173.1472392638036
149.0,1273.0,CD14,144.248322147651,1274.4541387024608
152.0,1184.0,CD11c,140.45030674846626,1173.1472392638036
152.0,1187.0,CD11c,140.45030674846626,1173.1472392638036
152.0,1852.0,CD11c,155.34883720930233,1844.2093023255813
153.0,1884.0,CD11c,134.8148148148148,1887.5296296296297
154.0,812.0,CD14,146.50131926121372,802.11345646438
155.0,1848.0,CD11c,155.34883720930233,1844.2093023255813
156.0,406.0,CD11c,189.60309278350516,426.8917525773196
156.0,1191.0,CD11c,140.45030674846626,1173.1472392638036
156.0,1277.0,CD11c,144.248322147651,1274.4541387024608
156.0,1876.0,CD11c,174.78212290502793,1871.322625698324
158.0,1191.0,CD11c,140.45030674846626,1173.1472392638036
159.0,1227.0,CD11c,165.09476309226932,1218.416458852868
160.0,1223.0,CD11c,165.09476309226932,1218.416458852868
160.0,1836.0,CD11c,155.34883720930233,1844.2093023255813
160.0,1881.0,CD11c,174.78212290502793,1871.322625698324
161.0,1890.0,CD11c,174.78212290502793,1871.322625698324
161.0,1901.0,CD14,143.0608228980322,1904.9499105545617
162.0,425.0,CD14,189.60309278350516,426.8917525773196
162.0,1215.0,CD11c,165.09476309226932,1218.416458852868
162.0,1217.0,CD11c,165.09476309226932,1218.416458852868
163.0,1201.0,CD11c,165.09476309226932,1218.416458852868
163.0,1883.0,CD11c,174.78212290502793,1871.322625698324
164.0,415.0,CD14,189.60309278350516,426.8917525773196
164.0,428.0,CD14,189.60309278350516,426.8917525773196
164.0,1219.0,CD11c,165.09476309226932,1218.416458852868
164.0,1422.0,CD14,180.38998835855645,1462.2281722933644
165.0,1888.0,CD11c,174.78212290502793,1871.322625698324
166.0,410.0,CD14,189.60309278350516,426.8917525773196
166.0,415.0,CD14,189.60309278350516,426.8917525773196
166.0,547.0,CD14,177.66949152542372,550.0063559322034
166.0,1216.0,CD11c,165.09476309226932,1218.416458852868
166.0,1227.0,CD11c,165.09476309226932,1218.416458852868
166.0,1925.0,CD11c,170.16702127659573,1929.740425531915
168.0,1101.0,CD14,157.67622259696458,1105.6863406408095
169.0,1222.0,CD11c,165.09476309226932,1218.416458852868
171.0,1876.0,CD11c,174.78212290502793,1871.322625698324
171.0,1907.0,CD14,180.09050772626932,1911.4613686534217
172.0,1216.0,CD11c,165.09476309226932,1218.416458852868
172.0,1236.0,CD11c,178.01712328767124,1259.5844748858447
172.0,1238.0,CD11c,178.01712328767124,1259.5844748858447
172.0,1853.0,CD11c,174.78212290502793,1871.322625698324
172.0,1880.0,CD11c,174.78212290502793,1871.322625698324
174.0,1295.0,CD11c,178.47302904564316,1294.6856846473029
176.0,1635.0,CD11c,207.67662753468517,1607.0917822838846
176.0,1894.0,CD11c,180.09050772626932,1911.4613686534217
177.0,1296.0,CD11c,178.47302904564316,1294.6856846473029
177.0,1907.0,CD14,180.09050772626932,1911.4613686534217
178.0,1882.0,CD11c,174.78212290502793,1871.322625698324
178.0,1886.0,CD11c,174.78212290502793,1871.322625698324
179.0,1192.0,CD14,190.8946772366931,1171.3227633069082
179.0,1221.0,CD11c,188.95645161290324,1207.274193548387
179.0,1405.0,CD14,222.21681415929203,1406.929203539823
179.0,1855.0,CD14,174.78212290502793,1871.322625698324
179.0,1896.0,CD11c,180.09050772626932,1911.4613686534217
181.0,549.0,CD14,177.66949152542372,550.0063559322034
182.0,1195.0,CD14,188.95645161290324,1207.274193548387
182.0,1841.0,CD14,204.97316495659038,1864.382004735596
182.0,1856.0,CD14,174.78212290502793,1871.322625698324
183.0,551.0,CD14,177.66949152542372,550.0063559322034
183.0,794.0,CD14,184.4505703422053,819.981939163498
183.0,1406.0,CD14,222.21681415929203,1406.929203539823
184.0,1235.0,CD11c,178.01712328767124,1259.5844748858447
184.0,1469.0,CD11c,180.38998835855645,1462.2281722933644
184.0,1886.0,CD11c,174.78212290502793,1871.322625698324
184.0,1912.0,CD14,180.09050772626932,1911.4613686534217
185.0,563.0,CD14,177.66949152542372,550.0063559322034
185.0,1110.0,CD14,194.19492656875835,1134.3057409879839
185.0,1639.0,CD11c,225.3859784283513,1637.3520801232667
186.0,1860.0,CD14,204.97316495659038,1864.382004735596
186.0,1870.0,CD14,174.78212290502793,1871.322625698324
186.0,1902.0,CD11c,180.09050772626932,1911.4613686534217
187.0,525.0,CD14,177.66949152542372,550.0063559322034
187.0,1401.0,CD14,222.21681415929203,1406.929203539823
187.0,1619.0,CD11c,207.67662753468517,1607.0917822838846
187.0,1910.0,CD14,180.09050772626932,1911.4613686534217
187.0,1912.0,CD14,180.09050772626932,1911.4613686534217
188.0,565.0,CD14,177.66949152542372,550.0063559322034
188.0,1643.0,CD11c,225.3859784283513,1637.3520801232667
188.0,1902.0,CD11c,180.09050772626932,1911.4613686534217
189.0,1186.0,CD14,190.8946772366931,1171.3227633069082
190.0,551.0,CD11c,177.66949152542372,550.0063559322034
191.0,1642.0,CD11c,225.3859784283513,1637.3520801232667
192.0,529.0,CD14,177.66949152542372,550.0063559322034
192.0,1919.0,CD14,180.09050772626932,1911.4613686534217
